t,target_nn,target_mu,n_z_g,alpha_deg,elevator,throttle,aileron,rudder,q_rps,p_rps,roll_deg,pitch_deg,alt_m,airspeed_mps,thrust_lbs,mach
6.416666666666667,4.0,0.0,-7.807726460990557,8.552918719133855,-1.0541608130869067,0.8,-1.0,-0.055794465043394505,0.2931633408746196,-1.1228064280534902,-179.72118150950757,-46.09921713239413,2914.2731390063077,196.36621243097133,19274.95059166144,0.6791489004882667
6.5,4.0,0.0,-7.485664768523182,8.05346709752406,-1.0540725794739503,0.8,1.0,-0.0975665878978389,0.29943582321959267,-0.7301045546604948,174.94439870371266,-47.503373993889376,2902.695183442283,196.5492368526439,19293.65761052406,0.6793162241921683
6.583333333333333,4.0,0.0,-6.687919162495397,7.911156570137275,-1.0538989001991512,0.8,1.0,-0.12086190351547779,0.33764751879547683,0.04008109325008062,172.88974517777626,-49.01681631149806,2890.6838018915537,196.89990487076628,19315.260862285653,0.6800295443344387
6.666666666666667,4.0,0.0,-5.8298858302298715,8.167391692343152,-1.0536359833084565,0.8,1.0,-0.1129801739874835,0.34989234640815436,0.636800797720128,174.117811403519,-50.654161375246865,2878.282228911942,197.41113886957342,19339.610973355637,0.6812656174465963
6.75,4.0,0.0,-5.087215258221382,8.638694075625205,-1.0533003160854781,0.8,1.0,-0.08018829049941692,0.34703929042063936,1.0655164948241325,177.8944828857819,-52.31922841007348,2865.5241610942217,198.05701795709356,19366.31536238312,0.682937567958402
6.833333333333333,4.0,0.0,-4.796363368021035,9.155802200909909,-1.0529016964771392,0.8,-1.0,-0.02943263121876552,0.3370157827688409,1.1468700166533146,-176.38045632646674,-53.95793762712327,2852.4377249113086,198.8086654378364,19394.947913840042,0.6849485761190939
6.916666666666667,4.0,0.0,-5.88258562380342,9.386721409876687,-1.0525446408708308,0.8,-1.0,0.021522686373553843,0.3209008605123808,0.35667331228739213,-172.38086768224656,-55.54188534440844,2839.0237901876985,199.45355717652694,19422.597511300817,0.6865862174394128
7.0,4.0,0.0,-6.800322646067802,9.37899668055313,-1.0451241876874364,0.8,-1.0,0.038228334670035224,0.310951854894606,-0.31030091438689034,-171.91599991997654,-57.05772958952519,2825.256445379323,199.96256744169486,19448.893433080022,0.6877528963081847
7.083333333333333,4.0,0.0,-7.490049971514508,9.197975796029052,-1.052048922018195,0.8,-1.0,0.023009927893414456,0.2999360315433571,-0.8098406661821669,-174.27923184084236,-58.529679313388996,2811.115067043659,200.35255745896373,19474.088952270813,0.6885052268358546
7.166666666666667,4.0,0.0,-8.26730402284959,8.782843560812891,-0.603832255321705,0.8,-1.0,-0.013605717192439009,0.28282196510254687,-1.1704457284885537,-178.8591329006053,-59.927776605912634,2796.5853769870073,200.63825184466089,19498.400854346426,0.6888927402738851
7.25,4.0,0.0,-7.836218932179069,8.19292058573428,-1.0490919411340012,0.8,1.0,-0.061903284237425714,0.26748770219813145,-0.993058663858367,175.07314930590636,-61.22266217961132,2781.665406984893,200.92781623793172,19523.319322499483,0.6892771553950645
7.333333333333333,4.0,0.0,-7.222060210736264,7.885504320665675,-1.0515424526619657,0.8,1.0,-0.09784224883072631,0.3270328287888527,-0.16096081661554815,171.85040658536633,-62.61346016672077,2766.387970642376,201.3675095234839,19550.8194357113,0.6901474594986347
7.416666666666667,4.0,0.0,-6.251541683554278,8.069655729333379,-1.0512462289974345,0.8,1.0,-0.10019785167277347,0.35025620527302354,0.5034733029971014,172.13441522498448,-64.22831114687355,2750.78862168501,201.97976816374467,19581.17100129209,0.6915785090100873
7.5,4.0,0.0,-5.470894051382369,8.514254702411511,-1.0508798570218245,0.8,1.0,-0.07474045221842451,0.3503809199627134,0.9845281968590389,175.19820551464213,-65.89986221892032,2734.893944586584,202.731247894502,19613.886760811052,0.6934587514419678
