t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
67.2,4,7660.268605957633,-112.89707829783258,9640.262005949111,189.2927503040969,118.47591567539976,-0.2540682481774962,2664.3128948681833,241.84900155403932,90.10035175715467,-3065.064162608039,14089.409982656665
67.3,4,7672.169465227568,-112.80748396667904,9650.52579582763,189.22627622433308,118.4752198123821,-0.2527499952483008,2666.490273453936,241.70969157719603,90.20945525275118,-3074.086903772859,14106.044834689937
67.4,4,7683.7392091274705,-112.70946638201511,9660.758526364696,189.1559890225523,118.47457187504367,-0.2514234345949722,2669.0134680442484,241.4795600878408,90.07141589684353,-3083.1061725693094,14122.67374699107
67.5,4,7694.982359381993,-112.62004044957752,9670.959551793267,189.09102116986514,118.47388238484223,-0.25011889931374215,2671.858197371176,241.29191599519848,90.13553330789308,-3092.1220585775873,14139.296887433387
67.6,4,7705.90230976007,-112.52228383503288,9681.1293737917,189.02225412879835,118.47324018464842,-0.24880627539277997,2675.043802881092,241.0678966150855,90.17549633995618,-3101.134546476544,14155.914220247509
67.7,4,7716.485017225528,-112.43317666310338,9691.267346948362,188.95879826079823,118.47255696592669,-0.24751532004709062,2678.5743794923337,240.75909324311925,90.04218821482665,-3110.1437258556543,14172.52591330748
67.8,4,7726.737487809598,-112.33568703030103,9701.373974166781,188.89155688648978,118.47192041345244,-0.24621649017632916,2682.433172527188,240.51730412732567,90.16663976744763,-3119.149581611081,14189.131931356862
67.9,4,7736.664948749769,-112.24693826279986,9711.44861036801,188.82961864955465,118.47124337028579,-0.24493897717706198,2686.6363355236444,240.20937354663974,90.12207471940236,-3128.1522033416177,14205.732442269586
68.0,4,7746.252395863731,-112.1498302417228,9721.491759673941,188.7639083250158,118.47061238068757,-0.24365379911565235,2691.182527034694,239.83472722573782,90.04576368928177,-3137.151576156548,14222.327411291535
68.1,4,7755.508143978828,-112.06142564784003,9731.50277729744,188.7034932345562,118.4699414206619,-0.2423895916090383,2696.06482233426,239.5273607249181,90.18189038173499,-3146.147789663305,14238.917006295087
68.2,4,7764.44439743408,-111.96478340533292,9741.48216856059,188.63931921085975,118.46931591098918,-0.24111792436360277,2701.2789398136824,239.18455093659,90.07020383413581,-3155.140829179544,14255.50119301781
68.3,4,7773.067288564788,-111.87670896328567,9751.429288928328,188.58043265335706,118.46865094227947,-0.23986688707387988,2706.8039539731144,238.83501917807814,90.07721726799457,-3164.1307843203376,14272.080139329504
68.4,4,7781.379550526106,-111.7804449272386,9761.344644919522,188.51780006085286,118.46803082885029,-0.23860859163064874,2712.649244942674,238.52113274426978,90.16917092816412,-3173.117640606915,14288.65381144957
68.5,4,7789.387652583354,-111.69280391338319,9771.227592233017,188.46044731108188,118.46737175829998,-0.2373705913724877,2718.8067372330397,238.1585429982672,90.02769059636104,-3182.1014876611816,14305.22237724516
68.6,4,7797.099341767038,-111.59685829414146,9781.078638609446,188.39936117869232,118.4667569557313,-0.2361255309235186,2725.255799841741,237.8366746995385,90.11165820425006,-3191.0823112035105,14321.78580340861
68.7,4,7804.515485846447,-111.50959817829013,9790.897139986102,188.34354741811907,118.46610368887397,-0.23490043653828044,2732.0155987421217,237.49498976150656,90.1330089992946,-3200.0602008622946,14338.344257805058
68.8,4,7811.63859617219,-111.41408283913614,9800.683605357171,188.28401268699605,118.4654941109735,-0.23366847616445285,2739.0709086643874,237.12173774198442,90.0079262783825,-3209.035142553065,14354.897707591348
68.9,4,7818.478405933966,-111.32711692652113,9810.437390910889,188.22974301115048,118.46484655352621,-0.23245615803293213,2746.40666329979,236.81288221401746,90.13964862463709,-3218.007225910736,14371.446320631378
69.0,4,7825.035077515613,-111.23202924645669,9820.159006933603,188.17176453503905,118.46424211505834,-0.23123716414168016,2754.042953552726,236.43622587611205,90.08715518162792,-3226.9764370422317,14387.990064537862
69.1,4,7831.290522561248,-111.14547002664932,9829.84780986903,188.1190439476863,118.46360017461433,-0.23003749364999518,2761.9819770338777,235.99179645578036,90.01592305303863,-3235.9428655890842,14404.529107173768
69.2,4,7837.2509083690275,-111.05080300761952,9839.50431132407,188.06262648243995,118.46300079263595,-0.22883133355257373,2770.2198341050475,235.61276998235067,90.15455183391798,-3244.9064978457423,14421.063416598465
69.3,4,7842.926296275634,-110.96474660167526,9849.127867985424,188.0114598826025,118.46236437944988,-0.22764418283882462,2778.7543406244818,235.19775076128977,90.04244409223618,-3253.8674234602336,14437.593160673658
69.4,4,7848.319061473505,-110.87049338924658,9858.718992795308,187.95660807349475,118.46176997347528,-0.22645072468775412,2787.567408419144,234.77561865244107,90.04947135451523,-3262.8256289103524,14454.118307895598
