step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
148,-6902,2352,3312,-4503,-4078,1139,-7525,-1235,2988
149,-6956,2377,3316,-4538,-4128,1129,-7569,-1243,3000
150,-7009,2401,3322,-4574,-4177,1119,-7614,-1250,3011
151,-7063,2425,3327,-4611,-4227,1108,-7659,-1258,3022
152,-7116,2449,3332,-4648,-4277,1098,-7704,-1266,3034
153,-7169,2474,3338,-4685,-4326,1088,-7749,-1274,3045
154,-7223,2499,3344,-4723,-4376,1078,-7794,-1281,3055
155,-7276,2523,3349,-4762,-4425,1068,-7838,-1289,3065
156,-7329,2548,3355,-4801,-4474,1059,-7883,-1297,3074
157,-7382,2574,3360,-4840,-4523,1050,-7927,-1304,3082
158,-7436,2599,3366,-4881,-4571,1042,-7972,-1312,3089
159,-7489,2624,3371,-4922,-4620,1035,-8017,-1320,3095
160,-7542,2650,3375,-4962,-4668,1027,-8061,-1327,3099
161,-7595,2675,3380,-5003,-4716,1020,-8106,-1335,3103
162,-7648,2701,3384,-5045,-4763,1013,-8150,-1343,3106
163,-7701,2726,3388,-5088,-4809,1005,-8195,-1350,3108
164,-7754,2751,3392,-5131,-4856,998,-8240,-1358,3109
165,-7807,2777,3396,-5174,-4902,991,-8284,-1366,3109
166,-7861,2801,3399,-5218,-4948,983,-8329,-1373,3108
167,-7914,2827,3402,-5262,-4994,975,-8373,-1381,3106
168,-7967,2852,3406,-5307,-5039,968,-8418,-1389,3102
169,-8020,2877,3410,-5352,-5085,961,-8463,-1397,3098
170,-8074,2901,3413,-5398,-5130,955,-8507,-1404,3093
171,-8128,2924,3417,-5443,-5175,950,-8552,-1412,3086
172,-8182,2947,3421,-5488,-5220,946,-8597,-1420,3079
173,-8236,2970,3426,-5534,-5265,943,-8642,-1428,3070
174,-8290,2992,3431,-5580,-5309,941,-8687,-1436,3061
175,-8344,3015,3436,-5626,-5353,939,-8732,-1443,3050
176,-8398,3037,3441,-5672,-5397,937,-8777,-1451,3038
177,-8452,3060,3446,-5718,-5440,934,-8823,-1459,3026
178,-8506,3083,3451,-5764,-5484,931,-8868,-1467,3012
179,-8561,3105,3455,-5810,-5527,928,-8914,-1475,2998
180,-8615,3128,3459,-5857,-5570,925,-8959,-1483,2983
181,-8669,3151,3462,-5903,-5613,922,-9005,-1491,2968
182,-8723,3175,3465,-5950,-5656,920,-9051,-1499,2954
183,-8777,3199,3468,-5997,-5698,917,-9098,-1507,2940
184,-8831,3221,3470,-6044,-5741,915,-9144,-1515,2927
185,-8885,3246,3472,-6091,-5783,913,-9191,-1523,2914
